Feature,Importance,Abs_Importance
sad,-10.303707485364443,10.303707485364443
miss,-8.974523766460702,8.974523766460702
hate,-8.570923538662347,8.570923538662347
suck,-8.003300598312538,8.003300598312538
sorry,-7.266738188642448,7.266738188642448
tired,-6.563605909049086,6.563605909049086
bored,-6.184694462400997,6.184694462400997
sick,-6.050521473580289,6.050521473580289
poor,-5.95135417794021,5.95135417794021
missed,-5.743476669054714,5.743476669054714
bad,-5.5021788855988625,5.5021788855988625
missing,-5.45982817191428,5.45982817191428
dont like,-5.2577628463953365,5.2577628463953365
cant,-5.094987863574577,5.094987863574577
sadly,-5.051488412472998,5.051488412472998
boring,-5.044254668242988,5.044254668242988
worst,-4.800788569220727,4.800788569220727
stupid,-4.758645819977616,4.758645819977616
ugh,-4.727043666115967,4.727043666115967
hurt,-4.621642275978319,4.621642275978319
