Feature,Importance,Abs_Importance
love,13.339604933258544,13.339604933258544
thanks,10.370746045761141,10.370746045761141
awesome,9.592656961653582,9.592656961653582
thank,8.381780236219457,8.381780236219457
good,8.105220281520992,8.105220281520992
great,7.861758485454798,7.861758485454798
amazing,7.692661078794856,7.692661078794856
hope,7.412246060752585,7.412246060752585
hopefully,7.037377941538253,7.037377941538253
cute,6.737377484970924,6.737377484970924
glad,6.62767392539096,6.62767392539096
nice,6.5850483902651815,6.5850483902651815
best,6.477279891259226,6.477279891259226
fun,6.461546650093635,6.461546650093635
happy,6.3558517162027215,6.3558517162027215
interesting,6.053366649028432,6.053366649028432
lovely,6.0381154767395895,6.0381154767395895
excited,5.924755205788445,5.924755205788445
yay,5.816959038682103,5.816959038682103
enjoy,5.518426527311979,5.518426527311979
